K. Jaksik,53,18,RB,65,Górnik Zabrze,€80K,Right
M. Twarowski,53,17,ST,72,Jagiellonia Białystok,€120K,Right
K. Laskoś,53,18,CB,71,Wisła Kraków,€110K,Right
S. Strózik,53,19,RM,69,Cracovia,€130K,Right
M. Ozga,53,18,CB,68,Jagiellonia Białystok,€110K,Right
K. Broda,53,16,GK,74,Wisła Kraków,€110K,Right
W. Długosz,53,18,CAM,63,Korona Kielce,€90K,Right
A. Klimczak,53,20,LB,58,Arka Gdynia,€70K,Left
P. Sokół,52,18,GK,74,Korona Kielce,€100K,Right
B. Slisz,52,19,LDM,64,Zagłębie Lubin,€90K,Right
B. Żynel,52,20,GK,62,Wisła Płock,€60K,Left
P. Świątko,52,19,CB,68,Wisła Kraków,€100K,Right
B. Gradecki,52,18,GK,62,Wisła Płock,€60K,Right
A. Czaplak,52,21,GK,60,Zagłębie Sosnowiec,€60K,Right
J. Osobiński,51,18,GK,61,Korona Kielce,€40K,Right
M. Grabowski,51,18,LB,63,Wisła Kraków,€50K,Left
M. Woźniak,51,17,GK,69,Lechia Gdańsk,€60K,Right
J. Szpaderski,51,19,GK,66,Miedź Legnica,€70K,Right
R. Grym,51,19,CM,63,Wisła Płock,€60K,Right
J. Pawlik,51,18,LB,68,Zagłębie Sosnowiec,€70K,Left
H. Kisiel,51,17,CM,68,Miedź Legnica,€70K,Right
B. Galach,51,17,ST,63,Crawley Town,€60K,Left
J. Miszczuk,50,27,GK,50,Jagiellonia Białystok,€20K,Right
M. Antkowiak,50,18,GK,58,Lincoln City,€30K,Right
P. Żyra,50,20,CM,60,Zagłębie Lubin,€50K,Right
D. Szczepaniak,48,18,GK,63,Morecambe,€50K,Right
P. Wieliczko,48,18,CM,58,Wisła Płock,€40K,Right
